district,city,latitude,longitude,updated_time,price,land_area_sqm,building_area_sqm,jumlah lantai,kamar tidur,kamar mandi,carpots,garasi,sertifikat,daya listrik,interior,tahun dibangun
Pancoran,Jakarta Selatan,-6.2554837,106.8429756,19/05/2024,2100000000.0,51.0,112.0,3.0,4.0,4.0,1.0,,SHM,4400.0,Unfurnished,2023.0
Pancoran,Jakarta Selatan,-6.2554837,106.8429756,19/05/2024,2200000000.0,51.0,112.0,3.0,4.0,4.0,1.0,,SHM,4400.0,Unfurnished,2023.0
Pancoran,Jakarta Selatan,-6.2554837,106.8429756,19/05/2024,3400000000.0,53.0,162.0,3.0,3.0,3.0,2.0,,SHM,5500.0,Unfurnished,2023.0
Pancoran,Jakarta Selatan,-6.2554837,106.8429756,19/05/2024,4300000000.0,73.0,189.0,3.0,3.0,3.0,2.0,,SHM,5500.0,Unfurnished,2023.0
Pancoran,Jakarta Selatan,-6.2554837,106.8429756,19/05/2024,4800000000.0,86.0,189.0,3.0,3.0,3.0,2.0,,SHM,5500.0,Unfurnished,2023.0
Pancoran,Jakarta Selatan,-6.2554837,106.8429756,19/05/2024,4700000000.0,83.0,189.0,3.0,3.0,3.0,2.0,,SHM,5500.0,Unfurnished,2023.0
Pancoran,Jakarta Selatan,-6.2554837,106.8429756,19/05/2024,5700000000.0,107.0,189.0,3.0,3.0,3.0,2.0,,SHM,5500.0,Unfurnished,2023.0
Kalibata,Pancoran,-6.264140599999999,106.8370122,19/05/2024,3200000000.0,70.0,115.0,3.0,3.0,3.0,2.0,,SHM,,Unfurnished,2023.0
Kalibata,Pancoran,-6.264140599999999,106.8370122,19/05/2024,3400000000.0,75.0,115.0,3.0,3.0,3.0,2.0,,SHM,,Unfurnished,2023.0
Kalibata,Pancoran,-6.264140599999999,106.8370122,19/05/2024,3700000000.0,81.0,191.0,3.0,3.0,3.0,2.0,,SHM,,Unfurnished,2023.0
Kalibata,Pancoran,-6.264140599999999,106.8370122,19/05/2024,3800000000.0,83.0,195.0,3.0,3.0,3.0,2.0,,SHM,,Unfurnished,2023.0
Kalibata,Pancoran,-6.264140599999999,106.8370122,19/05/2024,4000000000.0,87.0,205.0,3.0,3.0,3.0,2.0,,SHM,,Unfurnished,
Kalibata,Pancoran,-6.264140599999999,106.8370122,19/05/2024,1900000000.0,27.0,108.0,4.0,3.0,3.0,1.0,,SHM,,Unfurnished,
Kalibata,Pancoran,-6.264140599999999,106.8370122,19/05/2024,2000000000.0,30.0,120.0,4.0,3.0,3.0,1.0,,SHM,,Unfurnished,
Kalibata,Pancoran,-6.264140599999999,106.8370122,19/05/2024,2300000000.0,40.0,160.0,4.0,3.0,3.0,1.0,,SHM,,Unfurnished,
Kalibata,Pancoran,-6.264140599999999,106.8370122,19/05/2024,1900000000.0,40.0,160.0,4.0,3.0,3.0,1.0,,SHM,,Unfurnished,
Kalibata,Pancoran,-6.264140599999999,106.8370122,19/05/2024,1900000000.0,30.0,120.0,4.0,3.0,3.0,1.0,,SHM,,Unfurnished,
Pancoran,Jakarta Selatan,-6.2554837,106.8429756,19/05/2024,1900000000.0,27.0,120.0,3.0,3.0,3.0,1.0,,SHM,,Unfurnished,
Pancoran,Jakarta Selatan,-6.2554837,106.8429756,19/05/2024,2200000000.0,30.0,135.0,3.0,3.0,3.0,1.0,,SHM,,Unfurnished,
Pancoran,Jakarta Selatan,-6.2554837,106.8429756,19/05/2024,2500000000.0,40.0,180.0,3.0,3.0,3.0,1.0,,SHM,,Unfurnished,
